Transaction_ID,ATM_ID,City,Transaction_Date,Transaction_Type,Amount_INR,Response_Code,Location_Type,Weekday,Remaining_Cash,Refill_Required,ATM_Status
TXN00001,ATM_BAN_014,Bangalore,26-03-2024 22:05,PIN Change,2000,55,Rural,Tuesday,127658,No,Active
TXN00002,ATM_DEL_015,Delhi,11-07-2024 07:04,Cash Deposit,15000,0,Urban,Thursday,176519,No,Active
TXN00003,ATM_PUN_004,Pune,18-05-2024 17:44,Cash Deposit,10000,0,Urban,Saturday,273020,No,Active
TXN00004,ATM_PUN_014,Pune,12-05-2025 06:38,PIN Change,5000,0,Semi-Urban,Monday,127595,No,Active
TXN00005,ATM_PUN_001,Pune,02-02-2025 11:08,Balance Inquiry,10000,0,Rural,Sunday,152673,No,Active
TXN00006,ATM_BAN_003,Bangalore,11-11-2024 22:14,Balance Inquiry,15000,0,Urban,Monday,87768,Yes,Down
TXN00007,ATM_DEL_012,Delhi,08-01-2025 14:33,PIN Change,500,0,Rural,Wednesday,466256,No,Down
TXN00008,ATM_HYD_010,Hyderabad,14-10-2024 08:42,Fund Transfer,15000,0,Rural,Monday,294184,No,Active
TXN00009,ATM_BAN_004,Bangalore,19-10-2024 15:50,Mini Statement,500,51,Rural,Saturday,459242,No,Active
TXN00010,ATM_KOL_002,Kolkata,04-05-2024 12:37,Balance Inquiry,500,0,Semi-Urban,Saturday,321333,No,Active
TXN00011,ATM_MUM_005,Mumbai,06-02-2024 13:47,Fund Transfer,5000,51,Urban,Tuesday,82653,Yes,Active
TXN00012,ATM_CHE_008,Chennai,28-01-2024 02:00,Balance Inquiry,1000,0,Rural,Sunday,378326,No,Active
TXN00013,ATM_BAN_007,Bangalore,04-01-2025 15:31,Fund Transfer,10000,0,Semi-Urban,Saturday,496947,No,Down
TXN00014,ATM_DEL_013,Delhi,03-07-2024 23:03,PIN Change,15000,0,Semi-Urban,Wednesday,478021,No,Active
TXN00015,ATM_PUN_001,Pune,03-04-2024 09:14,Mini Statement,1000,0,Urban,Wednesday,420957,No,Active
TXN00016,ATM_KOL_002,Kolkata,31-05-2024 22:09,Mini Statement,500,0,Rural,Friday,235017,No,Down
TXN00017,ATM_KOL_009,Kolkata,10-07-2024 13:21,Fund Transfer,2000,0,Urban,Wednesday,71100,Yes,Down
TXN00018,ATM_BAN_007,Bangalore,16-02-2024 09:01,Balance Inquiry,20000,0,Urban,Friday,421290,No,Active
TXN00019,ATM_HYD_015,Hyderabad,01-02-2024 15:54,Fund Transfer,20000,0,Rural,Thursday,347993,No,Down
TXN00020,ATM_MUM_001,Mumbai,13-10-2024 17:39,Cash Deposit,20000,0,Semi-Urban,Sunday,424397,No,Active
TXN00021,ATM_KOL_001,Kolkata,14-03-2025 05:08,Fund Transfer,10000,51,Urban,Friday,307739,No,Active
TXN00022,ATM_PUN_002,Pune,18-02-2024 05:26,Fund Transfer,15000,96,Semi-Urban,Sunday,341325,No,Active
TXN00023,ATM_BAN_006,Bangalore,29-03-2025 13:39,Cash Deposit,10000,0,Semi-Urban,Saturday,298102,No,Active
TXN00024,ATM_KOL_014,Kolkata,28-01-2024 17:01,Fund Transfer,2000,0,Rural,Sunday,58072,Yes,Active
TXN00025,ATM_HYD_011,Hyderabad,03-06-2024 20:03,Cash Withdrawal,2000,0,Urban,Monday,315779,No,Down
TXN00026,ATM_MUM_003,Mumbai,01-01-2025 02:08,Balance Inquiry,15000,96,Semi-Urban,Wednesday,53598,Yes,Down
TXN00027,ATM_DEL_002,Delhi,11-12-2024 14:30,Balance Inquiry,15000,96,Semi-Urban,Wednesday,286164,No,Active
TXN00028,ATM_HYD_014,Hyderabad,22-03-2024 09:42,Balance Inquiry,15000,0,Urban,Friday,389309,No,Active
TXN00029,ATM_MUM_001,Mumbai,31-01-2024 15:49,Mini Statement,20000,0,Urban,Wednesday,179759,No,Active
TXN00030,ATM_CHE_006,Chennai,21-03-2024 07:41,Balance Inquiry,2000,55,Semi-Urban,Thursday,395194,No,Active
TXN00031,ATM_MUM_004,Mumbai,26-05-2024 18:01,Cash Withdrawal,2000,55,Urban,Sunday,85418,Yes,Active
TXN00032,ATM_BAN_001,Bangalore,02-12-2024 12:52,Cash Withdrawal,500,0,Semi-Urban,Monday,467256,No,Active
TXN00033,ATM_DEL_002,Delhi,02-02-2025 17:40,Fund Transfer,2000,0,Rural,Sunday,142122,No,Active
TXN00034,ATM_PUN_001,Pune,27-08-2024 18:09,Balance Inquiry,500,0,Urban,Tuesday,295964,No,Active
TXN00035,ATM_HYD_013,Hyderabad,22-05-2024 19:22,Mini Statement,10000,0,Urban,Wednesday,57702,Yes,Active
TXN00036,ATM_MUM_006,Mumbai,07-09-2024 02:17,Balance Inquiry,1000,0,Rural,Saturday,423494,No,Down
TXN00037,ATM_CHE_008,Chennai,03-05-2025 08:15,Cash Deposit,1000,0,Semi-Urban,Saturday,178175,No,Active
TXN00038,ATM_KOL_012,Kolkata,05-10-2024 23:10,Cash Deposit,20000,0,Rural,Saturday,338230,No,Active
TXN00039,ATM_PUN_006,Pune,07-11-2024 13:59,Balance Inquiry,500,0,Semi-Urban,Thursday,347742,No,Down
TXN00040,ATM_HYD_014,Hyderabad,16-06-2024 14:32,Cash Withdrawal,10000,0,Urban,Sunday,387900,No,Active
TXN00041,ATM_KOL_010,Kolkata,04-08-2024 19:39,PIN Change,10000,0,Semi-Urban,Sunday,349017,No,Active
TXN00042,ATM_CHE_004,Chennai,30-09-2024 21:46,PIN Change,2000,0,Semi-Urban,Monday,387214,No,Active
TXN00043,ATM_CHE_002,Chennai,05-12-2024 03:20,Balance Inquiry,5000,0,Rural,Thursday,482816,No,Down
TXN00044,ATM_DEL_008,Delhi,17-09-2024 17:07,Mini Statement,10000,55,Semi-Urban,Tuesday,274983,No,Active
TXN00045,ATM_CHE_005,Chennai,31-01-2025 09:34,Mini Statement,10000,0,Urban,Friday,485852,No,Active
TXN00046,ATM_HYD_009,Hyderabad,17-06-2024 12:22,Cash Withdrawal,2000,0,Urban,Monday,72889,Yes,Active
TXN00047,ATM_KOL_005,Kolkata,13-01-2025 02:01,Cash Deposit,20000,0,Rural,Monday,68107,Yes,Down
TXN00048,ATM_PUN_015,Pune,20-03-2024 03:53,Fund Transfer,15000,0,Urban,Wednesday,73425,Yes,Active
TXN00049,ATM_MUM_012,Mumbai,08-05-2024 19:23,Fund Transfer,1000,0,Rural,Wednesday,435005,No,Active
TXN00050,ATM_BAN_008,Bangalore,13-09-2024 14:02,Balance Inquiry,10000,0,Urban,Friday,50082,Yes,Active
TXN00051,ATM_KOL_007,Kolkata,29-04-2025 11:22,PIN Change,500,0,Urban,Tuesday,408445,No,Down
TXN00052,ATM_DEL_013,Delhi,13-11-2024 21:48,Cash Withdrawal,5000,0,Urban,Wednesday,272023,No,Active
TXN00053,ATM_DEL_006,Delhi,24-01-2025 23:51,Balance Inquiry,20000,51,Semi-Urban,Friday,309419,No,Down
TXN00054,ATM_KOL_001,Kolkata,21-04-2024 20:19,Fund Transfer,20000,51,Semi-Urban,Sunday,360929,No,Down
TXN00055,ATM_HYD_002,Hyderabad,17-03-2024 05:32,Cash Withdrawal,1000,55,Urban,Sunday,128520,No,Active
TXN00056,ATM_KOL_006,Kolkata,10-01-2025 23:37,Balance Inquiry,10000,55,Semi-Urban,Friday,303004,No,Active
TXN00057,ATM_BAN_014,Bangalore,01-08-2024 01:15,Cash Withdrawal,2000,0,Urban,Thursday,305728,No,Active
TXN00058,ATM_HYD_008,Hyderabad,10-01-2025 18:23,PIN Change,20000,0,Semi-Urban,Friday,179540,No,Down
TXN00059,ATM_CHE_007,Chennai,04-03-2025 02:33,Balance Inquiry,1000,0,Rural,Tuesday,216752,No,Down
TXN00060,ATM_BAN_003,Bangalore,14-09-2024 07:42,Fund Transfer,15000,0,Rural,Saturday,162559,No,Down
TXN00061,ATM_BAN_001,Bangalore,01-03-2025 16:41,Cash Withdrawal,20000,0,Urban,Saturday,412977,No,Active
TXN00062,ATM_KOL_001,Kolkata,17-01-2025 02:25,Cash Deposit,15000,0,Urban,Friday,87560,Yes,Active
TXN00063,ATM_KOL_013,Kolkata,12-05-2025 03:03,Fund Transfer,15000,0,Semi-Urban,Monday,263842,No,Active
TXN00064,ATM_MUM_004,Mumbai,13-02-2025 09:22,Cash Deposit,15000,0,Rural,Thursday,341816,No,Active
TXN00065,ATM_BAN_001,Bangalore,07-04-2024 21:58,Mini Statement,15000,0,Semi-Urban,Sunday,250899,No,Active
